date,open,high,low,close,adjclose,changed,changep,volume
2013-07-22,169.41,169.74,169.01,169.5,152.8319,0.298,0.002,79307249
2013-07-29,168.68,169.06,168.11,168.59,152.0114,-0.469,-0.0031,79712464
2013-08-05,170.57,170.96,170.35,170.7,153.9139,-0.225,-0.0015,53868607
2013-08-09,169.58,170.1,168.72,169.31,152.6606,-0.442,-0.0029,91824151
2013-08-15,167.41,167.43,166.09,166.38,150.0187,-2.128,-0.013999999999999999,152647543
2013-08-19,165.64,166.21,164.76,164.77,148.5671,-0.956,-0.0064,96330805
2013-08-26,166.79,167.3,165.89,166,149.6761,-0.559,-0.0037,89492894
2013-09-06,166.51,166.98,164.48,166.04,149.7122,0.072,5e-4,159700226
2013-09-10,168.64,168.9,168.26,168.87,152.2639,1.114,0.0074,105300853
2013-09-19,173.52,173.6,172.585,172.76,155.7713,-0.262,-0.0017000000000000001,146510429
2013-09-30,167.48,168.54,167.15,168.01,152.2267,-0.815,-0.0053,143620138
2013-10-02,168.35,169.3422,167.83,169.18,153.2868,-0.145,-9e-4,112859880
2013-10-03,168.79,168.94,166.84,167.62,151.8734,-1.413,-0.0092,176563533
2013-10-08,167.4,167.62,165.36,165.48,149.9344,-1.767,-0.0116,178558678
2013-10-09,165.8,166.2,164.53,165.6,150.0431,0.109,7.000000000000001e-4,168271554
2013-10-11,168.91,170.32,168.77,170.26,154.2654,0.988,0.0064,104967037
2013-10-16,170.72,172.16,170.635,172.07,155.9053,2.147,0.013999999999999999,161058684
2013-10-21,174.45,174.75,174.01,174.4,158.0165,0.011,1e-4,104054017
2013-10-28,175.89,176.47,175.7,176.23,159.6745,0.254,0.0016,84672528
2013-10-29,176.63,177.24,176.38,177.17,160.5262,0.852,0.0053,87248072
2013-11-01,176.02,176.61,175.22,176.21,159.6564,0.381,0.0024,142775416
2013-11-04,176.69,176.9,175.9825,176.83,160.2182,0.562,0.0034999999999999996,85486867
2013-11-11,177.12,177.53,176.91,177.32,160.6621,0.027,2e-4,66300304
2013-11-21,178.97,180.05,178.86,179.91,163.0088,1.305,0.008100000000000001,92841271
2013-11-25,181.13,181.17,180.37,180.63,163.6612,-0.163,-0.001,79485709
2013-12-03,179.94,180.39,179.17,179.75,162.8639,-0.707,-0.0043,116563302
2013-12-06,180.67,181.11,180.15,180.94,163.9421,1.812,0.011200000000000002,127727518
2013-12-09,181.47,181.67,181.16,181.4,164.3589,0.417,0.0025,70123608
2013-12-12,178.64,178.86,177.76,178.13,161.3961,-0.535,-0.0033,115564840
2013-12-13,178.5,178.66,177.77,178.11,161.3779,-0.018,-1e-4,107807610
2013-12-16,178.95,179.81,178.9,179.216,162.38,1.002,0.0062,96194790
2013-12-18,178.92,181.73,177.32,181.7,164.6307,2.763,0.0171,234906482
2013-12-23,182.41,182.64,182.065,182.53,166.2808,0.884,0.0053,85597541
2013-12-26,183.34,183.96,183.32,183.855,167.4878,0.843,0.0051,63365227
2013-12-27,184.1,184.18,183.66,183.845,167.4787,-0.009,-1e-4,61813841
2013-12-31,184.07,184.69,183.93,184.69,168.2485,0.793,0.004699999999999999,86247638
2014-01-03,183.21,183.6,182.63,182.885,166.6042,-0.032,-2e-4,81390502
2014-01-07,183.09,183.79,182.95,183.48,167.1462,1.02,0.0060999999999999995,86144169
2014-01-09,184.1,184.13,182.795,183.64,167.292,0.109,7.000000000000001e-4,90683302
2014-01-13,183.71,184.18,181.34,181.685,165.511,-2.236,-0.013300000000000001,149891938
2014-01-14,182.28,183.77,181.95,183.67,167.3193,1.808,0.0109,105016055
2014-01-16,184.28,184.6618,183.83,184.42,168.0025,-0.219,-0.0013,72290520
2014-01-17,184.1,184.45,183.32,183.635,167.2874,-0.715,-0.0043,107848616
2014-01-22,184.49,184.57,183.91,184.3,167.8932,0.109,7.000000000000001e-4,61270816
2014-01-24,181.6,181.66,178.83,178.89,162.9648,-3.553,-0.0213,208677093
2014-01-27,179.06,179.52,177.12,178.01,162.1632,-0.802,-0.0049,180843004
2014-01-30,178.86,179.81,178.26,179.23,163.2746,1.713,0.0106,118938051
2014-02-04,174.95,175.84,174.1055,175.385,159.7719,1.107,0.006999999999999999,165012351
2014-02-07,178.31,179.87,177.73,179.68,163.6845,2.004,0.0124,170787197
2014-02-10,179.7,180.07,179.21,180.01,163.9851,0.301,0.0018,92218729
2014-02-13,180.84,183.2,180.83,183.01,166.7181,0.856,0.0052,100542155
2014-02-19,183.76,184.95,182.87,183.02,166.7272,-1.111,-0.0066,126524261
2014-02-21,184.49,184.89,183.8,183.89,167.5197,-0.191,-0.0011,118116359
2014-03-03,184.69,185.45,183.75,184.98,168.5127,-1.193,-0.006999999999999999,167448668
2014-03-04,186.75,187.98,186.75,187.58,170.8812,2.369,0.0141,167545852
2014-03-05,187.72,188.07,187.45,187.75,171.0361,0.155,9e-4,88376859
2014-03-07,188.87,188.96,187.43,188.26,171.5007,0.073,4e-4,114513432
2014-03-11,188.44,188.71,186.8,187.23,170.5624,-0.847,-0.0049,99009013
2014-03-18,186.71,187.91,186.51,187.66,170.9541,1.212,0.0070999999999999995,101804519
2014-03-21,187.72,189.0239,186.03,186.2,170.3724,-0.661,-0.0039000000000000003,163127905
2014-03-24,186.82,187.07,184.62,185.43,169.6678,-0.705,-0.0040999999999999995,121411145
2014-03-27,184.77,185.34,183.9,184.58,168.8901,-0.357,-0.0021,142382757
2014-03-28,185.105,186.42,185,185.49,169.7227,0.833,0.0049,101641547
2014-03-31,186.65,187.3,185.5216,187.01,171.1135,1.391,0.008199999999999999,99744911
2014-04-07,185.9,186.26,183.96,184.34,168.6705,-1.885,-0.0111,140802699
2014-04-09,185.6,187.15,185.06,187.09,171.1867,1.821,0.0108,100253612
2014-04-10,187.09,187.17,182.93,183.155,167.5862,-3.601,-0.021,172959331
2014-04-11,182.17,183.42,181.31,181.51,166.081,-1.505,-0.009000000000000001,167250792
2014-04-15,183.32,184.33,181.51,184.2,168.5424,1.153,0.0069,157092533
2014-04-16,185.47,186.14,184.65,186.125,170.3037,1.761,0.0105,105196633
2014-04-17,185.88,186.91,185.56,186.39,170.5462,0.242,0.0014000000000000002,105254649
2014-04-21,186.44,187.1,186.21,187.04,171.1409,0.595,0.0034999999999999996,68329343
2014-04-22,187.23,188.4,187.13,187.89,171.9187,0.778,0.0045000000000000005,85790307
2014-04-25,187.21,187.33,185.87,186.29,170.4547,-1.409,-0.008199999999999999,100380205
2014-04-28,187.05,187.69,184.96,186.875,170.99,0.535,0.0031,135121094
2014-04-29,187.48,188.04,187.08,187.75,171.7906,0.801,0.004699999999999999,84097551
2014-04-30,187.44,188.5,187.18,188.31,172.303,0.512,0.003,101507717
2014-05-01,188.22,188.84,187.73,188.325,172.3167,0.014,1e-4,93019095
2014-05-06,188,188.13,186.74,186.78,170.9031,-1.501,-0.0087,85454226
2014-05-09,187.69,188.04,186.83,187.96,171.9827,0.261,0.0015,83678568
2014-05-12,188.76,189.88,187.9992,189.785,173.6526,1.67,0.0097,86940045
2014-05-13,190.03,190.42,189.77,189.96,173.8127,0.16,9e-4,66453965
2014-05-14,189.79,189.88,188.79,189.06,172.9892,-0.823,-0.004699999999999999,72366848
2014-05-15,188.67,188.72,186.48,187.4,171.4703,-1.519,-0.0088,154956399
2014-05-20,188.645,188.67,187.07,187.55,171.6076,-1.089,-0.0063,111644478
2014-05-21,188.1,189.22,188.06,189.13,173.0533,1.446,0.0084,89093285
2014-05-22,189.18,189.98,188.86,189.59,173.4742,0.421,0.0024,61549345
2014-05-23,189.75,190.48,189.5858,190.35,174.1696,0.695,0.004,60156088
2014-05-27,191.05,191.58,190.95,191.52,175.2401,1.071,0.0060999999999999995,72010355
2014-05-28,191.52,191.82,191.06,191.38,175.112,-0.128,-7.000000000000001e-4,66722865
2014-05-29,191.82,192.4,191.33,192.37,176.0179,0.906,0.0052,64376573
2014-06-02,192.95,192.99,191.97,192.895,176.4983,0.197,0.0011,64655648
2014-06-04,192.47,193.3,192.265,193.19,176.7682,0.357,0.002,55529372
2014-06-06,194.87,195.43,194.78,195.375,178.7674,0.846,0.0048,78696219
2014-06-09,195.35,196.05,195.17,195.58,178.955,0.188,0.001,65118828
2014-06-10,195.33,195.64,194.92,195.6,178.9733,0.018,1e-4,57129440
2014-06-18,194.83,196.37,194.4,196.255,179.5726,1.304,0.0073,105266767
2014-06-19,196.43,196.6,195.8,195.54,178.9184,-0.654,-0.0036,85928920
2014-06-20,196.03,196.1039,195.7,195.94,180.1473,1.229,0.0069,100587108
2014-06-24,195.53,196.5,194.48,194.7,179.0073,-1.085,-0.006,96236917
2014-06-25,194.25,195.781,194.25,195.58,179.8163,0.809,0.0045000000000000005,82781912
2014-06-26,195.61,195.63,194.13,195.44,179.6876,-0.129,-7.000000000000001e-4,84311822
2014-06-27,194.98,195.88,194.885,195.82,180.037,0.349,0.0019,71453616
2014-07-01,196.19,197.63,196.13,197.03,181.1495,1.204,0.0067,90470121
2014-07-03,197.79,198.29,197.64,198.2,182.2252,0.892,0.0049,52938832
2014-07-07,197.82,197.98,197.22,197.51,181.5908,-0.634,-0.0034999999999999996,61696447
2014-07-08,197.15,197.22,195.76,196.24,180.4231,-1.168,-0.0064,108142552
2014-07-09,196.73,197.295,196.31,197.12,181.2322,0.809,0.0045000000000000005,72992322
2014-07-10,195.22,196.86,195.06,196.34,180.5151,-0.717,-0.004,99040407
2014-07-16,198.11,198.26,197.42,197.96,182.0045,0.671,0.0037,80073242
2014-07-17,197.349,198.1,195.43,195.71,179.9359,-2.069,-0.011399999999999999,145398459
2014-07-21,197.09,197.5,196.43,197.34,181.4345,-0.34,-0.0019,67591618
2014-07-22,198.01,198.56,197.87,198.2,182.2252,0.791,0.0044,67677602
2014-07-24,198.83,199.06,198.45,198.65,182.6389,0.009,1e-4,56888093
2014-07-28,197.76,198.09,196.62,197.8,181.8574,0.074,4e-4,69258785
2014-07-29,198.17,198.45,196.92,196.95,181.0759,-0.781,-0.0043,80466351
2014-07-30,197.65,197.91,196.16,196.98,181.1035,0.028,2e-4,104222452
2014-07-31,195.61,195.78,192.97,193.09,177.527,-3.576,-0.0197,183479441
2014-08-05,193.1,193.6,191.31,192.01,176.5341,-1.728,-0.0097,152690379
2014-08-06,191.11,192.89,191.08,192.07,176.5892,0.055,3e-4,94818317
2014-08-07,192.935,193.13,190.55,191.03,175.6331,-0.956,-0.0054,135733421
2014-08-08,191.46,193.37,190.95,193.24,177.6649,2.032,0.0116,117014384
2014-08-11,193.965,194.66,193.71,193.795,178.1752,0.51,0.0029,74543691
2014-08-12,193.61,194.15,192.94,193.53,177.9316,-0.244,-0.0014000000000000002,73631640
2014-08-13,194.29,195.06,193.96,194.84,179.136,1.204,0.0068000000000000005,68926041
2014-08-14,195.16,195.76,194.98,195.76,179.9818,0.846,0.004699999999999999,57370793
2014-08-15,196.47,196.65,194.31,195.72,179.9451,-0.037,-2e-4,139950669
2014-08-18,196.8,197.45,196.69,197.36,181.4529,1.508,0.0084,75424360
2014-08-19,197.84,198.54,197.4426,198.39,182.3999,0.947,0.0052,59134709
2014-08-20,198.12,199.16,198.08,198.92,182.8871,0.487,0.0027,72762541
2014-08-21,199.09,199.76,198.93,199.5,183.4204,0.533,0.0029,67790690
2014-08-22,199.34,199.69,198.74,199.19,183.1354,-0.285,-0.0016,76107359
2014-08-25,200.14,200.5949,199.1502,200.2,184.064,0.929,0.0051,63855022
2014-08-26,200.33,200.82,200.28,200.33,184.1835,0.12,6e-4,47298324
2014-08-29,200.45,200.73,199.82,200.71,184.5329,0.524,0.0028000000000000004,65906598
2014-09-02,200.97,200.995,199.86,200.61,184.4409,-0.092,-5e-4,72425793
2014-09-04,200.84,201.58,199.66,200.2101,184.0733,-0.267,-0.0014000000000000002,85236442
2014-09-05,200.17,201.19,199.41,201.11,184.9006,0.827,0.0045000000000000005,102176784
2014-09-09,200.41,200.55,198.91,199.32,183.2549,-1.168,-0.0063,88590876
2014-09-12,200.1,200.12,198.56,199.13,183.0802,-1.076,-0.0058,117478516
2014-09-15,199.16,199.32,198.38,198.981,182.9432,-0.137,-7.000000000000001e-4,76401421
2014-09-16,198.61,200.84,198.5,200.48,184.3214,1.378,0.0075,116200722
2014-09-18,201.36,201.85,201.1,201.82,185.5534,0.984,0.0053,94990300
2014-09-22,200.35,200.38,198.73,199.15,183.9547,-1.432,-0.0077,125552758
2014-09-23,198.43,199.26,197.95,198.01,182.9017,-1.053,-0.005699999999999999,111393319
2014-09-24,198.04,199.69,197.52,199.56,184.3334,1.432,0.0078000000000000005,107275635
2014-09-25,199.04,199.05,196.27,196.34,181.3591,-2.974,-0.0161,150300028
2014-09-30,197.69,198.3,196.61,197.02,181.9872,-0.48,-0.0026,131302082
2014-10-01,196.7,196.77,193.91,194.35,179.521,-2.466,-0.013600000000000001,177797862
2014-10-02,194.18,195.055,192.35,194.38,179.5487,0.028,2e-4,157285182
2014-10-03,195.68,196.94,195.08,196.52,181.5254,1.977,0.011000000000000001,121568769
2014-10-06,197.34,197.6,195.582,196.29,181.3129,-0.212,-0.0012,104778335
2014-10-07,195.28,195.72,193.22,193.26,178.5141,-2.799,-0.0154,147913498
2014-10-08,193.37,196.92,192.36,196.64,181.6362,3.122,0.0175,186461453
2014-10-09,196.33,196.6,192.58,192.74,178.0338,-3.602,-0.019799999999999998,210704601
2014-10-10,192.69,193.65,190.49,190.54,176.0017,-2.032,-0.011399999999999999,221908954
2014-10-14,188.42,189.82,187.04,187.7,173.3784,0.268,0.0015,215846527
2014-10-15,185.16,187.694,181.92,186.43,172.2053,-1.173,-0.0068000000000000005,380714598
