Date,Open,High,Low,Close
01/02/92,19.69,20.15,18.88,18.95
01/03/92,17.04,19.23,17.04,18.75
01/06/92,16.23,19.49,16.08,18.96
01/07/92,20.3,20.3,19.12,19.23
01/08/92,17.53,19.27,17.3,18.72
01/09/92,17.58,19.41,17.58,18.96
01/10/92,18.5,18.89,18.3,18.45
01/13/92,19.05,19.05,18.01,18.01
01/14/92,17.73,17.73,16.16,17.01
01/15/92,17.81,17.91,17.31,17.39
01/16/92,18.43,18.43,17.42,17.64
01/17/92,16.59,16.77,16.01,16.32
01/20/92,16.57,16.72,16.24,16.42
01/21/92,16.74,18.19,16.6,17.92
01/22/92,17.54,17.58,16.72,16.75
01/23/92,15.48,16.73,15.4,16.46
01/24/92,16.23,16.33,15.65,16.24
01/27/92,16.15,16.82,16.15,16.67
01/28/92,17.07,17.7,16.99,17.67
01/29/92,16.57,18.04,16.05,17.62
01/30/92,16.87,17.75,16.87,17.49
01/31/92,14.16,17.51,14.12,17.4
02/03/92,17.08,19.21,17.01,18.2
02/04/92,17.16,18.72,16.84,17.96
02/05/92,18.15,18.35,17.98,18.22
02/06/92,18.8,18.93,18.64,18.79
02/07/92,18.43,19.31,18.13,18.51
02/10/92,19.24,19.25,18.55,18.56
02/11/92,19.24,18.57,17.61,17.7
02/12/92,18.22,18.23,17.37,17.37
02/13/92,15.42,18.03,15.35,17.45
02/14/92,17.52,17.62,16.81,17.03
02/18/92,17.79,18.32,17.38,18.22
02/19/92,17.79,17.69,16.85,17.16
02/20/92,15.66,17.32,15.59,16.72
02/21/92,15.75,17.41,15.75,16.87
02/24/92,17.47,17.55,17.07,17.13
02/25/92,15.86,17.1,15.52,16.35
02/26/92,15.66,16.74,15.66,16.64
02/27/92,16.97,17.08,16.36,16.51
02/28/92,15.34,17.17,15.34,16.68
03/02/92,17.44,17.5,16.88,16.88
03/03/92,17.36,17.41,16.92,17.26
03/04/92,17.82,17.92,17.43,17.89
03/05/92,18.57,18.89,17.94,18.47
03/06/92,18.25,20.04,18.14,19.75
03/09/92,20.67,20.68,19.66,19.68
03/10/92,19.62,19.63,18.6,18.68
03/11/92,19.23,20.34,19.18,19.79
03/12/92,19.47,21.06,19.47,19.72
03/13/92,18.39,18.88,17.98,18.35
03/16/92,19.13,19.13,18.44,18.46
03/17/92,17.78,17.84,16.79,16.79
03/18/92,16.95,16.97,16.61,16.69
03/19/92,16.73,16.85,16.44,16.52
03/20/92,16.73,16.9,16.58,16.82
03/23/92,17.63,17.63,16.73,16.73
03/24/92,16.27,16.7,16.18,16.32
03/25/92,16.41,16.41,16.08,16.19
03/26/92,16.55,16.6,16.1,16.29
03/27/92,15.88,16.09,15.46,16.02
03/30/92,16.43,16.53,15.9,15.97
03/31/92,16.45,16.56,15.98,16.18
04/01/92,16.93,17.11,16.43,16.48
04/02/92,16.25,17.17,16.11,17.06
04/03/92,18.22,18.32,16.71,16.72
04/06/92,17.18,17.2,16.59,16.72
04/07/92,17.26,18.81,16.56,18.81
04/08/92,20.06,21.44,19.66,20.15
04/09/92,18.95,18.96,17.48,17.89
04/10/92,17.39,17.43,16.79,16.85
04/13/92,17.42,17.51,16.93,16.99
04/14/92,16.82,16.82,15.88,15.98
04/15/92,16.36,16.45,15.15,15.15
04/16/92,15.17,15.58,14.83,14.85
04/20/92,16.15,16.54,15.7,15.93
04/21/92,16,16.86,15.74,16.53
04/22/92,16.03,16.15,15.86,15.96
04/23/92,16.1,16.75,15.83,15.83
04/24/92,15.73,16.83,15.53,15.71
04/27/92,16.93,16.93,16.38,16.49
04/28/92,16.56,16.9,16.24,16.24
04/29/92,16.38,16.4,15.86,15.95
04/30/92,15.86,15.94,15.53,15.53
05/01/92,14.87,17.36,14.84,16.61
05/04/92,16.7,17.76,16.48,16.92
05/05/92,15.56,17.12,15.49,16.66
05/06/92,16.11,17.33,15.9,16.81
05/07/92,15.8,17.29,15.67,16.54
05/08/92,16.18,16.34,15.52,15.65
05/11/92,15.87,15.9,15.17,15.17
05/12/92,15.4,15.87,15.32,15.68
05/13/92,15.88,15.88,15.19,15.19
05/14/92,14.38,16.19,14.35,15.49
05/15/92,14.38,16.06,14.1,14.82
05/18/92,15.17,15.46,14.58,14.62
05/19/92,13.95,14.4,13.44,13.57
05/20/92,12.98,14.19,12.98,13.62
05/21/92,14.01,15.12,13.92,13.92
05/22/92,14.03,14.31,13.53,13.73
05/26/92,13.93,15.28,13.77,14.92
05/27/92,13.84,14.36,13.59,13.99
05/28/92,14.25,14.57,13.72,13.77
05/29/92,12.77,14.28,12.77,13.86
06/01/92,14.47,14.84,13.92,14.43
06/02/92,12.92,15.22,12.73,14.57
06/03/92,13.24,14.97,13.24,14.35
06/04/92,13.21,14.32,13.14,13.66
06/05/92,14.57,14.96,14.5,14.65
06/08/92,15.6,15.6,15.1,15.19
06/09/92,15.28,15.98,15.17,15.97
06/10/92,15.9,16.62,15.75,16.62
06/11/92,16.91,16.95,16.29,16.29
06/12/92,15.37,15.48,14.71,14.95
06/15/92,16.11,16.11,14.72,14.76
06/16/92,15.12,15.23,14.82,15.22
06/17/92,15.76,18.08,15.74,18.08
06/18/92,18.23,18.53,17.64,18.2
06/19/92,17.43,17.53,16.28,16.31
06/22/92,14.66,17.79,14.64,16.66
06/23/92,14.27,15.29,14.17,14.53
06/24/92,14.26,14.75,14.12,14.4
06/25/92,13.93,15,13.85,14.4
06/26/92,14.13,15,14.13,14.67
06/29/92,13.94,14.41,13.21,13.21
06/30/92,13.66,14.31,13.19,13.35
07/01/92,13.43,13.57,12.98,13.34
07/02/92,12.69,14.83,12.68,13.88
07/06/92,14.27,15.43,14.27,14.87
07/07/92,14.03,15.86,14.03,15.83
07/08/92,14.17,16.36,14.17,15.53
07/09/92,14.34,15.41,14.05,14.6
07/10/92,13.93,14.12,13.56,13.7
07/13/92,12.47,14.57,12.47,14.01
07/14/92,14.26,14.39,13.29,13.5
07/15/92,12.41,13.08,12.31,12.52
07/16/92,12.13,12.88,11.78,12.27
07/17/92,13.15,13.48,12.4,12.6
07/20/92,13.54,13.54,12.62,12.66
07/21/92,12.2,12.81,12.17,12.6
07/22/92,11.36,14.01,11.36,13.57
07/23/92,13.33,13.9,13.24,13.33
07/24/92,12.25,14.16,12.25,13.37
07/27/92,13.34,14.95,13.34,13.9
07/28/92,11.5,14,11.5,13.05
07/29/92,12.21,13.79,12.21,13.44
07/30/92,13.45,13.79,12.98,13.5
07/31/92,12.55,13.64,12.55,13.17
08/03/92,14.05,14.33,13.2,13.83
08/04/92,13.34,14.33,13.11,13.58
08/05/92,12.41,14.34,12.41,13.82
08/06/92,12.4,14.79,12.34,14.23
08/07/92,13.93,14.28,13.17,13.94
08/10/92,13.87,15.43,13.83,14.51
08/11/92,15.32,15.92,15.09,15.09
08/12/92,14.28,15.57,13.51,14.88
08/13/92,13.45,15.79,13.44,15.34
08/14/92,15.63,15.7,14.66,14.66
08/17/92,14.32,15.54,13.83,14.61
08/18/92,14.67,14.81,13.84,13.84
08/19/92,14.67,14.84,13.91,14.35
08/20/92,14.37,14.72,14.13,14.48
08/21/92,13.74,15.48,13.4,15.01
08/24/92,13.74,16.48,15.21,16.19
08/25/92,14.87,16.52,14.87,15.62
08/26/92,14.05,15.41,14.05,14.5
08/27/92,14.05,13.86,12.88,13.66
08/28/92,12.57,13.42,12.52,13.14
08/31/92,12.66,13.89,12.66,13.58
09/01/92,11.87,13.44,11.85,13.4
09/02/92,12.69,13.09,12.57,12.73
09/03/92,10.77,12.88,10.69,12.88
09/04/92,12.92,13.16,12.75,12.98
09/08/92,13.36,13.9,13.36,13.65
09/09/92,13.03,13.92,13.01,13.36
09/10/92,12.64,13.28,12.59,12.92
09/11/92,12.39,13.02,11.96,12.47
09/14/92,13.37,13.37,12.51,13
09/15/92,11.53,13.75,11.53,13.63
09/16/92,11.53,14.86,13.52,14.72
09/17/92,13.61,14.41,13.61,14.31
09/18/92,13.61,13.94,12.8,13.74
09/21/92,12.99,13.72,12.96,13.45
09/22/92,13.57,14.1,13.53,13.88
09/23/92,13.72,14.11,13.71,13.83
09/24/92,13.76,13.86,13.42,13.44
09/25/92,13.77,14.98,13.54,14.8
09/28/92,15.42,15.42,15.11,15.19
09/29/92,15.23,15.36,14.87,14.97
09/30/92,13.96,14.89,13.96,14.28
10/01/92,15.44,16.31,15.03,16.31
10/02/92,15.33,17.8,15.32,17.79
10/05/92,19.77,25.13,19.37,20.01
10/06/92,20.37,20.42,19.49,19.95
10/07/92,19.07,21.08,18.9,21.02
10/08/92,19.57,19.94,18.95,19.26
10/09/92,19.57,21,19.67,20.51
10/12/92,20.61,20.62,19.48,19.49
10/13/92,16.84,18.44,16.15,17.9
10/14/92,15.77,18.52,15.58,18.42
10/15/92,18.11,18.15,16.91,17.11
10/16/92,15.8,17.67,15.47,17.01
10/19/92,16.89,17.35,16.43,17.31
10/20/92,16,17.1,15.74,16.87
10/21/92,17.08,17.08,16.62,16.62
10/22/92,15.83,16.24,15.72,15.84
10/23/92,17.11,17.21,16.46,16.46
10/26/92,16.93,17.32,16.31,16.32
10/27/92,16.33,16.75,16.13,16.24
10/28/92,16.33,16.66,15.81,15.95
10/29/92,15.68,15.83,15.39,15.47
10/30/92,15.9,16.6,15.57,16.15
11/02/92,17.02,17.13,16.57,16.67
11/03/92,16.01,17.92,15.96,17.33
11/04/92,16.33,16.87,16.17,16.28
11/05/92,16.1,16.1,15.35,15.38
11/06/92,15.66,15.68,14.65,14.69
11/09/92,15.66,15.14,14.06,14.23
11/10/92,14.51,14.71,14.27,14.37
11/11/92,14.6,15.02,13.99,13.99
11/12/92,16.36,16.36,14.32,14.37
11/13/92,14.8,14.86,14.03,14.61
11/16/92,14.68,14.89,14.64,14.86
11/17/92,15.74,15.85,14.44,15.01
11/18/92,14.98,14.98,14.18,14.55
11/19/92,14.98,15.1,14.14,14.33
11/20/92,14.98,14.2,13.44,13.67
11/23/92,12.93,13.95,12.89,13.4
11/24/92,12.54,13.37,12.46,12.66
11/25/92,12.48,12.95,12.48,12.5
11/27/92,11.63,12.67,11.52,12.58
11/30/92,11.38,13.67,11.38,13.01
12/01/92,12.94,13.89,12.76,12.8
12/02/92,12.06,13.49,11.99,12.56
12/03/92,12.09,12.78,11.84,12.03
12/04/92,11.69,12.46,11.54,11.81
12/07/92,12,12.61,11.7,12
12/08/92,10.29,12.38,10.29,11.73
12/09/92,10.29,13.34,10.93,12.58
12/10/92,12.36,13.37,12.26,12.75
12/11/92,12.36,13.52,11.01,12.34
12/14/92,12.61,12.83,12.36,12.66
12/15/92,12.61,12.92,12.37,12.41
12/16/92,12.61,12.88,12.15,12.58
12/17/92,12.03,12.6,11.86,12.14
12/18/92,12.03,12.58,10.64,11.66
12/21/92,12.03,11.97,11.2,11.65
12/22/92,10.57,12.81,10.36,11.75
12/23/92,10.57,11.9,11.27,11.51
12/24/92,11.5,11.99,11.3,11.57
12/28/92,12.67,12.85,12.11,12.22
12/29/92,12.27,12.84,11.72,12.29
12/30/92,12.14,13.6,12.14,12.6
12/31/92,11.87,13.05,11.75,12.57
01/04/93,12.96,13.92,12.91,13.36
01/05/93,12.99,14.08,12.92,13.35
01/06/93,12.88,14.17,11.86,13.37
01/07/93,12.9,15.06,12.65,14.72
01/08/93,13.75,14.39,13.61,13.77
01/11/93,13.27,13.57,12.43,12.86
01/12/93,11.82,13.87,11.74,12.78
01/13/93,13.02,13.02,12.15,12.42
01/14/93,12.29,12.33,11.93,11.99
01/15/93,11.9,11.96,11.25,11.57
01/18/93,12.15,12.17,11.49,11.49
01/19/93,11.64,12.17,11.62,12.06
01/20/93,12.21,12.34,11.85,12.15
01/21/93,12.41,12.45,11.69,11.69
01/22/93,11.63,11.74,11.22,11.3
01/25/93,11.42,11.65,11.26,11.38
01/26/93,11.08,11.5,10.98,11.45
01/27/93,11.66,12.61,11.44,12.01
01/28/93,12.08,12.46,11.9,12.04
01/29/93,12.49,13.16,12.42,12.42
02/01/93,12.51,12.92,12.18,12.33
02/02/93,12.47,12.89,12.22,12.25
02/03/93,11.98,12.34,11.79,12.12
02/04/93,11.86,12.84,11.69,12.29
02/05/93,12.56,13.45,12.49,12.9
02/08/93,13.15,13.94,12.2,13.22
02/09/93,13.63,13.76,13.43,13.48
02/10/93,13.58,14.26,13,13.43
02/11/93,13.05,13.65,12.63,12.69
02/12/93,13.58,13.66,12.32,12.38
02/16/93,13.44,16.45,13.35,15.76
02/17/93,15.96,16.34,15.57,15.9
02/18/93,14.69,16.65,14.32,15.56
02/19/93,15.74,15.74,15,15.02
02/22/93,15.03,15.25,14.34,14.7
02/23/93,15.1,15.43,14.6,15.04
02/24/93,14,15.03,14,14.72
02/25/93,12.99,14.79,12.95,13.76
02/26/93,13.47,13.82,13.12,13.16
03/01/93,13.13,14.11,13.07,13.6
03/02/93,13.76,13.8,12.49,12.49
03/03/93,13.14,13.71,12.93,13.13
03/04/93,12.52,14.02,12.5,13.44
03/05/93,13.2,14.13,12.98,14.08
03/08/93,15,16.3,14.95,16.22
03/09/93,14.02,15.43,13.78,14.17
03/10/93,14.63,14.72,13.85,13.91
03/11/93,13.97,14.27,13.92,14.26
03/12/93,15.6,16.37,14.91,15.66
03/15/93,15.01,15.06,14.63,14.74
03/16/93,13.05,14.68,13.05,14.51
03/17/93,15.06,15.18,14.4,14.53
03/18/93,14.33,15.07,14.17,14.17
03/19/93,14.33,13.89,13.11,13.23
03/22/93,13.97,14.42,13.65,13.66
03/23/93,12.71,13.37,12.69,13.02
03/24/93,12.23,12.89,12.06,12.44
03/25/93,12.71,12.81,12.04,12.08
03/26/93,10.66,12.38,10.66,12.21
03/29/93,13.04,13.04,12.27,12.63
03/30/93,12.58,12.82,12.23,12.23
03/31/93,12.29,12.9,12.19,12.53
04/01/93,13.04,14.05,12.7,13.02
04/02/93,14.27,14.85,13.99,14.5
04/05/93,14.43,15.06,14.06,14.12
04/06/93,13.73,14.84,13.72,14.24
04/07/93,13.75,14.58,13.58,13.64
04/08/93,12.33,13.65,12.16,12.83
04/12/93,12.33,12.78,11.52,11.93
04/13/93,12.59,12.95,11.48,11.7
04/14/93,12.33,12.41,11.61,11.76
04/15/93,11.96,11.97,10.71,10.96
04/16/93,11.11,11.5,10.74,11.29
04/19/93,11.11,12.35,11.39,12.06
04/20/93,11.82,12.54,11.75,11.94
04/21/93,12.41,12.82,12.02,12.11
04/22/93,11.58,13.01,11.45,12.68
04/23/93,13.2,13.98,12.92,13.36
04/26/93,14.06,15.45,13.99,15.25
04/27/93,15.39,15.45,13.93,13.93
04/28/93,15.39,13.78,11.28,13.12
04/29/93,13.24,13.44,12.8,12.8
04/30/93,11.26,12.67,11.25,12.42
05/03/93,13.25,13.52,12.79,12.9
05/04/93,13.05,13.07,12.1,12.14
05/05/93,12.12,12.75,11.96,12.38
05/06/93,12.83,13.72,12.58,13.22
05/07/93,12.93,13.48,12.87,13.01
05/10/93,13.42,14.71,13.25,13.72
05/11/93,13.62,14.19,13.35,13.35
